2026-05-13 06:30:37.944 [http-nio-8761-exec-8] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-SUPPLY-SERVICE/10.0.0.139:tavia-supply-service:8091 with status DOWN (replication=false)
2026-05-13 06:30:38.047 [http-nio-8761-exec-10] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-AI-SERVICE/10.0.0.139:tavia-ai-service:8084 with status DOWN (replication=false)
2026-05-13 06:30:38.063 [http-nio-8761-exec-2] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-API-GATEWAY/10.0.0.139:tavia-api-gateway:8080 with status DOWN (replication=false)
2026-05-13 06:30:38.117 [http-nio-8761-exec-1] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-ORDER-SERVICE/10.0.0.139:tavia-order-service:8082 with status DOWN (replication=false)
2026-05-13 06:30:38.141 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServiceRegistry — Unregistering application TAVIA-DISCOVERY-SERVICE with eureka with status DOWN
2026-05-13 06:30:38.188 [http-nio-8761-exec-3] INFO  [traceId=, spanId=] c.n.e.r.AbstractInstanceRegistry — Registered instance TAVIA-TRAFFIC-SIMULATOR/10.0.0.139:tavia-traffic-simulator:8095 with status DOWN (replication=false)
2026-05-13 06:30:38.216 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] o.s.boot.tomcat.GracefulShutdown — Commencing graceful shutdown. Waiting for active requests to complete
2026-05-13 06:30:38.254 [tomcat-shutdown] INFO  [traceId=, spanId=] o.s.boot.tomcat.GracefulShutdown — Graceful shutdown complete
2026-05-13 06:30:38.274 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerBootstrap — Shutting down Eureka Server..
2026-05-13 06:30:38.278 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Shutting down ...
2026-05-13 06:30:38.279 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Shut down
2026-05-13 06:30:38.279 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] o.s.c.n.e.s.EurekaServerBootstrap — Eureka Service is now shutdown...
2026-05-13 06:30:38.307 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Shutting down ...
2026-05-13 06:30:38.311 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] c.n.e.DefaultEurekaServerContext — Shut down
2026-05-13 06:30:38.336 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Shutting down DiscoveryClient ...
2026-05-13 06:30:38.336 [SpringApplicationShutdownHook] INFO  [traceId=, spanId=] c.netflix.discovery.DiscoveryClient — Completed shut down of DiscoveryClient
2026-05-13 07:06:41.823 [restartedMain] INFO  [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — Starting TaviaDiscoveryServiceApplication using Java 21.0.10 with PID 50280 (/home/tuna/Desktop/tavia_v2/tavia-discovery-service/build/classes/java/main started by tuna in /home/tuna/Desktop/tavia_v2/tavia-discovery-service)
2026-05-13 07:06:41.825 [restartedMain] DEBUG [traceId=, spanId=] c.t.d.TaviaDiscoveryServiceApplication — Running with Spring Boot v4.0.6, Spring v7.0.7
